"delta","ngen","ordering","kval","dataset"
123200243.2,51,7,20,"Pangenome"
123266483.2,52,7,20,"Pangenome"
123389440,53,7,20,"Pangenome"
123518579.2,54,7,20,"Pangenome"
123576422.4,55,7,20,"Pangenome"
123683660.8,56,7,20,"Pangenome"
109252915.2,1,8,20,"Pangenome"
111794752,2,8,20,"Pangenome"
112850483.2,3,8,20,"Pangenome"
113853209.6,4,8,20,"Pangenome"
114603507.2,5,8,20,"Pangenome"
115055116.8,6,8,20,"Pangenome"
115637273.6,7,8,20,"Pangenome"
116110438.4,8,8,20,"Pangenome"
116377612.8,9,8,20,"Pangenome"
116788556.8,10,8,20,"Pangenome"
117176985.6,11,8,20,"Pangenome"
117379891.2,12,8,20,"Pangenome"
117553075.2,13,8,20,"Pangenome"
117868160,14,8,20,"Pangenome"
118154086.4,15,8,20,"Pangenome"
118426009.6,16,8,20,"Pangenome"
118574336,17,8,20,"Pangenome"
118830694.4,18,8,20,"Pangenome"
118979686.4,19,8,20,"Pangenome"
119202636.8,20,8,20,"Pangenome"
119412531.2,21,8,20,"Pangenome"
119529356.8,22,8,20,"Pangenome"
119733145.6,23,8,20,"Pangenome"
119941568,24,8,20,"Pangenome"
120149542.4,25,8,20,"Pangenome"
120341516.8,26,8,20,"Pangenome"
120415744,27,8,20,"Pangenome"
120517171.2,28,8,20,"Pangenome"
120623052.8,29,8,20,"Pangenome"
120816345.6,30,8,20,"Pangenome"
120913868.8,31,8,20,"Pangenome"
121077248,32,8,20,"Pangenome"
121141299.2,33,8,20,"Pangenome"
121225267.2,34,8,20,"Pangenome"
121380198.4,35,8,20,"Pangenome"
121541977.6,36,8,20,"Pangenome"
121708774.4,37,8,20,"Pangenome"
121856204.8,38,8,20,"Pangenome"
121994214.4,39,8,20,"Pangenome"
122138880,40,8,20,"Pangenome"
122266508.8,41,8,20,"Pangenome"
122411379.2,42,8,20,"Pangenome"
122492518.4,43,8,20,"Pangenome"
122566348.8,44,8,20,"Pangenome"
122638963.2,45,8,20,"Pangenome"
122745280,46,8,20,"Pangenome"
122857561.6,47,8,20,"Pangenome"
122922560,48,8,20,"Pangenome"
123038387.2,49,8,20,"Pangenome"
123150156.8,50,8,20,"Pangenome"
123220441.6,51,8,20,"Pangenome"
123332416,52,8,20,"Pangenome"
123443225.6,53,8,20,"Pangenome"
123560230.4,54,8,20,"Pangenome"
123614425.6,55,8,20,"Pangenome"
123683660.8,56,8,20,"Pangenome"
109249177.6,1,9,20,"Pangenome"
111326976,2,9,20,"Pangenome"
112331110.4,3,9,20,"Pangenome"
112986803.2,4,9,20,"Pangenome"
114062924.8,5,9,20,"Pangenome"
114436083.2,6,9,20,"Pangenome"
115086668.8,7,9,20,"Pangenome"
115620134.4,8,9,20,"Pangenome"
116040691.2,9,9,20,"Pangenome"
116520742.4,10,9,20,"Pangenome"
116950041.6,11,9,20,"Pangenome"
117132761.6,12,9,20,"Pangenome"
117476582.4,13,9,20,"Pangenome"
117805683.2,14,9,20,"Pangenome"
118113843.2,15,9,20,"Pangenome"
118253516.8,16,9,20,"Pangenome"
118526848,17,9,20,"Pangenome"
118784076.8,18,9,20,"Pangenome"
118930892.8,19,9,20,"Pangenome"
119053158.4,20,9,20,"Pangenome"
119287654.4,21,9,20,"Pangenome"
119527040,22,9,20,"Pangenome"
119621683.2,23,9,20,"Pangenome"
119846003.2,24,9,20,"Pangenome"
119915494.4,25,9,20,"Pangenome"
120022336,26,9,20,"Pangenome"
120228262.4,27,9,20,"Pangenome"
120424576,28,9,20,"Pangenome"
120625408,29,9,20,"Pangenome"
120804556.8,30,9,20,"Pangenome"
120894720,31,9,20,"Pangenome"
120984396.8,32,9,20,"Pangenome"
121039462.4,33,9,20,"Pangenome"
121205875.2,34,9,20,"Pangenome"
121294131.2,35,9,20,"Pangenome"
121446425.6,36,9,20,"Pangenome"
121599500.8,37,9,20,"Pangenome"
121679692.8,38,9,20,"Pangenome"
121758272,39,9,20,"Pangenome"
121838707.2,40,9,20,"Pangenome"
122002380.8,41,9,20,"Pangenome"
122158822.4,42,9,20,"Pangenome"
122290547.2,43,9,20,"Pangenome"
122409753.6,44,9,20,"Pangenome"
122539366.4,45,9,20,"Pangenome"
122664780.8,46,9,20,"Pangenome"
122785638.4,47,9,20,"Pangenome"
122907750.4,48,9,20,"Pangenome"
123022208,49,9,20,"Pangenome"
123147737.6,50,9,20,"Pangenome"
123224064,51,9,20,"Pangenome"
123340966.4,52,9,20,"Pangenome"
123399756.8,53,9,20,"Pangenome"
123512000,54,9,20,"Pangenome"
123612006.4,55,9,20,"Pangenome"
123683660.8,56,9,20,"Pangenome"
109285721.6,1,10,20,"Pangenome"
111295116.8,2,10,20,"Pangenome"
112339302.4,3,10,20,"Pangenome"
113536486.4,4,10,20,"Pangenome"
114030873.6,5,10,20,"Pangenome"
114360051.2,6,10,20,"Pangenome"
115103257.6,7,10,20,"Pangenome"
115647436.8,8,10,20,"Pangenome"
116141171.2,9,10,20,"Pangenome"
116584960,10,10,20,"Pangenome"
116960921.6,11,10,20,"Pangenome"
117309568,12,10,20,"Pangenome"
117489625.6,13,10,20,"Pangenome"
117664678.4,14,10,20,"Pangenome"
118013708.8,15,10,20,"Pangenome"
118155788.8,16,10,20,"Pangenome"
118300710.4,17,10,20,"Pangenome"
118587520,18,10,20,"Pangenome"
118867443.2,19,10,20,"Pangenome"
118954867.2,20,10,20,"Pangenome"
119094976,21,10,20,"Pangenome"
119335756.8,22,10,20,"Pangenome"
119450611.2,23,10,20,"Pangenome"
119549785.6,24,10,20,"Pangenome"
119749696,25,10,20,"Pangenome"
119975820.8,26,10,20,"Pangenome"
120187302.4,27,10,20,"Pangenome"
120284467.2,28,10,20,"Pangenome"
120461683.2,29,10,20,"Pangenome"
120558361.6,30,10,20,"Pangenome"
120758272,31,10,20,"Pangenome"
120933708.8,32,10,20,"Pangenome"
121101120,33,10,20,"Pangenome"
121182016,34,10,20,"Pangenome"
121263718.4,35,10,20,"Pangenome"
121424128,36,10,20,"Pangenome"
121494208,37,10,20,"Pangenome"
121649536,38,10,20,"Pangenome"
121803699.2,39,10,20,"Pangenome"
121952140.8,40,10,20,"Pangenome"
122106086.4,41,10,20,"Pangenome"
122171161.6,42,10,20,"Pangenome"
122298086.4,43,10,20,"Pangenome"
122443545.6,44,10,20,"Pangenome"
122564825.6,45,10,20,"Pangenome"
122692812.8,46,10,20,"Pangenome"
122814464,47,10,20,"Pangenome"
122945497.6,48,10,20,"Pangenome"
123064332.8,49,10,20,"Pangenome"
123173222.4,50,10,20,"Pangenome"
123236441.6,51,10,20,"Pangenome"
123273497.6,52,10,20,"Pangenome"
123381120,53,10,20,"Pangenome"
